,Match_Id,Team_Id,Toss_Won,Bat_First,Win_Percenetage,Opponent_Win_Percentage,Win_Percenetage_Against,Toss_Decision_Win_Percentage,Bat_Decision_Win_Percentage,Match_Won
0,335987,2,0,1,50.35971223021583,51.515151515151516,50.0,45.90163934426229,43.54838709677419,0
1,335987,1,1,0,51.515151515151516,50.35971223021583,50.0,55.072463768115945,56.45161290322581,1
2,335988,4,0,0,47.014925373134325,60.30534351145038,41.1764705882353,59.375,59.42028985507246,0
3,335988,3,1,1,60.30534351145038,47.014925373134325,58.8235294117647,63.63636363636363,58.44155844155844,1
4,335989,6,0,0,42.10526315789474,53.389830508474574,37.5,56.25,68.42105263157895,1
5,335989,5,1,1,53.389830508474574,42.10526315789474,62.5,53.96825396825397,46.2962962962963,0
6,335990,7,0,0,57.142857142857146,50.35971223021583,57.89473684210526,44.5945945945946,43.421052631578945,0
7,335990,2,1,1,50.35971223021583,57.142857142857146,42.10526315789474,54.09836065573771,43.54838709677419,1
8,335991,1,0,0,51.515151515151516,38.666666666666664,77.77777777777777,44.927536231884055,56.45161290322581,1
9,335991,8,1,1,38.666666666666664,51.515151515151516,22.22222222222223,44.18604651162791,41.86046511627907,0
10,335992,5,0,0,53.389830508474574,47.014925373134325,60.0,46.03174603174603,53.7037037037037,1
11,335992,4,1,1,47.014925373134325,53.389830508474574,40.0,40.625,40.57971014492754,0
12,335993,8,0,0,38.666666666666664,42.10526315789474,36.36363636363637,55.81395348837209,58.13953488372093,0
13,335993,6,1,1,42.10526315789474,38.666666666666664,63.63636363636363,43.75,31.57894736842105,1
14,335994,3,0,1,60.30534351145038,57.142857142857146,45.45454545454545,36.36363636363637,58.44155844155844,1
15,335994,7,1,0,57.142857142857146,60.30534351145038,54.54545454545455,55.4054054054054,43.421052631578945,0
16,335995,8,0,1,38.666666666666664,53.389830508474574,22.22222222222222,55.81395348837209,41.86046511627907,0
17,335995,5,1,0,53.389830508474574,38.666666666666664,77.77777777777777,53.96825396825397,53.7037037037037,1
18,335996,4,0,1,47.014925373134325,57.142857142857146,50.0,59.375,40.57971014492754,1
19,335996,7,1,0,57.142857142857146,47.014925373134325,50.0,55.4054054054054,43.421052631578945,0
20,335997,2,0,1,50.35971223021583,53.389830508474574,50.0,45.90163934426229,43.54838709677419,0
21,335997,5,1,0,53.389830508474574,50.35971223021583,50.0,53.96825396825397,53.7037037037037,1
22,335998,3,0,0,60.30534351145038,51.515151515151516,62.5,36.36363636363637,41.55844155844156,1
23,335998,1,1,1,51.515151515151516,60.30534351145038,37.5,55.072463768115945,43.54838709677419,0
24,335999,7,0,1,57.142857142857146,38.666666666666664,60.0,44.5945945945946,56.578947368421055,0
25,335999,8,1,0,38.666666666666664,57.142857142857146,40.0,44.18604651162791,58.13953488372093,1
26,336000,4,0,0,47.014925373134325,42.10526315789474,55.55555555555556,59.375,59.42028985507246,1
27,336000,6,1,1,42.10526315789474,47.014925373134325,44.44444444444444,43.75,31.57894736842105,0
28,336001,2,0,0,50.35971223021583,60.30534351145038,36.8421052631579,45.90163934426229,56.45161290322581,0
29,336001,3,1,1,60.30534351145038,50.35971223021583,63.1578947368421,63.63636363636363,58.44155844155844,1
30,336002,1,0,0,51.515151515151516,57.142857142857146,27.77777777777778,44.927536231884055,56.45161290322581,0
31,336002,7,1,1,57.142857142857146,51.515151515151516,72.22222222222223,55.4054054054054,56.578947368421055,1
32,336003,6,0,1,42.10526315789474,50.35971223021583,35.294117647058826,56.25,31.57894736842105,1
